ID,lat,lon
BHM,33.56388889,-86.75230556
HSV,34.63719444,-86.77505556
LIT,34.72944444,-92.22477778
PHX,33.43427778,-112.0115833
BUR,34.20066667,-118.3586667
FAT,36.77619444,-119.7181389
LGB,33.81777708,-118.151651
LAX,33.9424955,-118.4080684
OAK,37.72127778,-122.2207222
PSP,33.82966667,-116.5066944
SMF,38.69544444,-121.5907778
SFO,37.61897222,-122.3748889
SJC,37.36266667,-121.9291111
COS,38.80580556,-104.7007778
BDL,41.93914511,-72.68337128
DCA,38.85208333,-77.03772222
IAD,38.94744444,-77.45994444
RSW,26.53616667,-81.75516667
JAX,30.49405556,-81.68786111
MCO,28.42939361,-81.30899306
PNS,30.47342556,-87.18661222
ATL,33.63672,-84.42806611
SAV,32.12758333,-81.20213889
DSM,41.53397222,-93.66308333
ORD,41.98164861,-87.90667142
IND,39.71729914,-86.29466119
ICT,37.64994444,-97.43305556
CVG,39.04883667,-84.66782222
LEX,38.03675,-84.60863889
SDF,38.17408583,-85.73649889
MSY,29.99338889,-90.25802778
BOS,42.36297222,-71.00641667
BWI,39.17536111,-76.66833333
PWM,43.64616667,-70.30927778
GRR,42.88083333,-85.52280556
MSP,44.88195667,-93.22176556
MCI,39.29760528,-94.71390556
STL,38.74869722,-90.37002889
JAN,32.31116667,-90.07588889
CLT,35.21374067,-80.94906903
GSO,36.10132586,-79.94112344
RDU,35.87763889,-78.78747222
OMA,41.30316667,-95.89405556
MHT,42.93280556,-71.43575
EWR,40.6925,-74.16866667
ABQ,35.04019444,-106.6091944
LAS,36.08005556,-115.15225
RNO,39.49911111,-119.7681111
BUF,42.94041667,-78.73058333
ISP,40.79525,-73.10022222
JFK,40.63975111,-73.77892556
LGA,40.77725,-73.87261111
SYR,43.11119444,-76.10630556
HPN,41.06694444,-73.70755556
CAK,40.91505556,-81.44363889
CMH,39.99797222,-82.89188889
DAY,39.90225139,-84.21941019
OKC,35.39307403,-97.60076172
TUL,36.19838889,-95.88811111
PDX,45.58870886,-122.5968694
MDT,40.19319067,-76.76262061
PHL,39.87224944,-75.24086583
PIT,40.49147222,-80.23286111
SJU,18.43929461,-66.00200417
PVD,41.72399917,-71.42822111
GSP,34.89566667,-82.21886111
TYS,35.81097222,-83.99402778
MEM,35.04241667,-89.97666667
BNA,36.12447222,-86.67819444
AUS,30.19452778,-97.66988889
DAL,32.84711111,-96.85177778
HOU,29.64541861,-95.27888889
IAH,29.98443361,-95.34144222
LBB,33.66363889,-101.8227778
SAT,29.53369444,-98.46977778
SLC,40.78838778,-111.9777731
PHF,37.13188889,-76.49297222
ORF,36.89461111,-76.20122222
RIC,37.50516667,-77.31966667
STT,18.33730556,-64.97336111
SEA,47.44988889,-122.3117778
MKE,42.9470795,-87.89706253
