Country,Total
USA,1407
Australia,621
Republic of South Africa,252
Brazil,104
New Zealand,51
Papua New Guinea,48
Mascarene Islands (Reunion Island),42
Mexico,40
Bahama Islands,30
Iran,23
Fiji Islands,22
Egypt,19
Japan,15
Greece,15
New Caledonia,14
India,14
Italy,13
Hong Kong,13
Cuba,12
Mozambique,11
Ecuador,11
Indonesia,11
Philippines,11
Puerto Rico,11
Solomon Islands,11
Panama,10
Vietnam,10
Iraq,8
Kiribati,8
Marshall Islands,8
Canary Islands,6
Kenya,6
Spain,6
Costa Rica,6
Malta,5
Saudi Arabia,5
France,5
Libya,5
Croatia,5
French Polynesia,5
Venezuela,4
Argentina,4
Haiti,4
American Samoa,4
Tonga,4
Seychelles,4
Tanzania,4
Singapore,4
Sri Lanka,4
Federated States of Micronesia,4
Jamaica,3
Russia,3
Somalia,3
US Virgin Islands,3
Dominican Republic,3
Mascarene Islands,3
Bermuda Island,3
Tunisia,3
Taiwan,3
Madagascar,3
Thailand,3
El Salvador,2
Cayman Islands,2
Wake Island,2
Maldives,2
Yemen,2
Vanuatu,2
Nicaragua,2
United Kingdom,2
Turks and Caicos Islands,2
Sudan,2
Senegal,1
Antigua and Barbuda,1
Uruguay,1
British Indian Ocean Territory,1
Cape Verde,1
South Korea,1
China,1
Malaysia,1
Sierra Leone,1
Guam,1
Republic of Finland,1
Cyprus,1
Djibouti,1
Pakistan,1
Nigeria,1
Namibia,1
Liberia,1
Israel,1
Colombia,1
