postalcode,group,region,state,lat,lon,quantity
19901,NE3,East,Delaware,39.1787,-75.4737,22
19805,NE3,East,Delaware,39.744,-75.6079,120
19711,NE3,East,Delaware,39.7135,-75.7399,225
19601,NE3,East,Pennsylvania,40.3543,-75.9438,16
19143,NE3,East,Pennsylvania,39.9423,-75.2259,424
19140,NE3,East,Pennsylvania,40.0122,-75.1452,564
19134,NE3,East,Pennsylvania,39.9889,-75.1061,585
19120,NE3,East,Pennsylvania,40.0342,-75.1196,408
19013,NE3,East,Pennsylvania,39.8565,-75.3621,55
18103,NE3,East,Pennsylvania,40.5718,-75.4811,20
18018,NE3,East,Pennsylvania,40.625,-75.3942,18
17602,NE3,East,Pennsylvania,40.0138,-76.2471,35
17403,NE3,East,Pennsylvania,39.9199,-76.713,19
11757,NE3,East,New York,40.6899,-73.3739,1
11572,NE3,East,New York,40.6325,-73.6379,82
11561,NE3,East,New York,40.5889,-73.6433,142
11550,NE3,East,New York,40.7023,-73.6202,51
11520,NE3,East,New York,40.6484,-73.5822,17
10801,NE3,East,New York,40.9175,-73.7848,27
10701,NE3,East,New York,40.9449,-73.8643,57
10550,NE3,East,New York,40.9059,-73.8347,33
10035,NE3,East,New York,40.7937,-73.9189,953
10024,NE3,East,New York,40.7846,-73.9721,840
10011,NE3,East,New York,40.7427,-74.0013,776
10009,NE3,East,New York,40.7264,-73.9785,848
08901,NE3,East,New Jersey,40.4842,-74.4454,3
08861,NE3,East,New Jersey,40.5233,-74.2747,22
08701,NE3,East,New Jersey,40.0768,-74.2038,93
08401,NE3,East,New Jersey,39.3656,-74.4282,2
08360,NE3,East,New Jersey,39.4829,-75.0269,24
08302,NE3,East,New Jersey,39.4442,-75.2604,6
07960,NE3,East,New Jersey,40.7848,-74.505,31
07601,NE3,East,New Jersey,40.8893,-74.0468,28
07501,NE3,East,New Jersey,40.9164,-74.1642,62
07109,NE3,East,New Jersey,40.7947,-74.1622,32
07090,NE3,East,New Jersey,40.6503,-74.3458,16
07060,NE3,East,New Jersey,40.616,-74.4208,49
07055,NE3,East,New Jersey,40.8574,-74.1287,24
07050,NE3,East,New Jersey,40.768,-74.2349,17
07036,NE3,East,New Jersey,40.6257,-74.2416,7
07017,NE3,East,New Jersey,40.7719,-74.2071,20
07011,NE3,East,New Jersey,40.8801,-74.1445,9
07002,NE3,East,New Jersey,40.6651,-74.1109,9
14609,NE1,East,New York,43.1775,-77.5524,120
13601,NE1,East,New York,43.9642,-75.9022,35
13501,NE1,East,New York,43.0825,-75.2266,33
13440,NE1,East,New York,43.2153,-75.4617,22
13021,NE1,East,New York,42.908,-76.4999,63
12180,NE1,East,New York,42.7534,-73.5867,57
05408,NE1,East,Vermont,44.5114,-73.2478,50
04401,NE1,East,Maine,44.846,-68.8457,29
04240,NE1,East,Maine,44.0922,-70.1683,6
03820,NE1,East,New Hampshire,43.192,-70.8881,53
03301,NE1,East,New Hampshire,43.2251,-71.5416,64
06824,NE2,East,Connecticut,41.1895,-73.2861,80
06810,NE2,East,Connecticut,41.3751,-73.4599,2
06708,NE2,East,Connecticut,41.5502,-73.0669,33
06484,NE2,East,Connecticut,41.3062,-73.1391,5
06460,NE2,East,Connecticut,41.2283,-73.0202,30
06457,NE2,East,Connecticut,41.5375,-72.6514,28
06450,NE2,East,Connecticut,41.5337,-72.7741,32
06360,NE2,East,Connecticut,41.5537,-72.0917,12
06040,NE2,East,Connecticut,41.7613,-72.5225,42
06010,NE2,East,Connecticut,41.6807,-72.9401,17
03060,NE2,East,New Hampshire,42.7486,-71.4658,10
02920,NE2,East,Rhode Island,41.7671,-71.4658,52
02908,NE2,East,Rhode Island,41.8392,-71.4377,118
02895,NE2,East,Rhode Island,42.0006,-71.4989,15
02886,NE2,East,Rhode Island,41.705,-71.4606,14
02740,NE2,East,Massachusetts,41.6386,-70.9425,22
02169,NE2,East,Massachusetts,42.2466,-71.0063,44
02151,NE2,East,Massachusetts,42.4182,-71.0044,24
02149,NE2,East,Massachusetts,42.4072,-71.0535,83
02148,NE2,East,Massachusetts,42.4307,-71.0575,9
